track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
6SJ01hvFkBLTUnkLyZ72G5,215448,78,0.569,0.221,0.829,1.13e-06,0.102,-4.086,0.142,102.004,4,0
33Nj9AdncSmHbCN3QeSZTL,204102,86,0.753,0.128,0.662,0.0,0.105,-6.702,0.0361,116.916,3,0
4ENmnZWhNTEiJpT25y7F1h,130614,76,0.726,0.561,0.804,0.000173,0.187,-6.736,0.0716,132.742,3,0
4yyCGGdTVaYG17vhsrUPoL,184806,87,0.696,0.273,0.496,0.000397,0.0626,-7.532,0.0365,100.025,4,0
2btNsI4OvcVl7SAHQQDHFB,157453,88,0.717,0.141,0.656,2.96e-05,0.0661,-4.449,0.0797,175.956,4,0
3TlghSCu53YEUigL9RuqnU,254705,78,0.674,0.342,0.7,3.57e-05,0.0994,-5.809,0.0473,102.031,4,0
4JtKlgBLKHtRTqixKHrrw8,184095,73,0.826,0.292,0.596,0.0,0.166,-5.262,0.0357,127.922,4,0
6KOnLTb1xLfKDAjMC43I76,177580,83,0.698,0.0942,0.891,0.0,0.133,-5.003,0.0341,124.054,3,0
5PCGEfALcpGtURIuTqvX0R,134930,79,0.776,0.319,0.442,1.31e-05,0.0723,-8.99,0.0575,100.021,4,0
5jFA0f4ZDGLbQP4nxzL8D4,105836,84,0.845,0.00204,0.583,0.000459,0.11,-3.455,0.287,145.078,4,0
5OwAhFlvFZ4ZdGDfroYgAm,218400,82,0.83,0.131,0.741,0.0,0.109,-4.267,0.0753,99.99,4,0
4kCGXKoHyfvpSF535X4Z4p,247468,73,0.693,0.296,0.775,0.0,0.232,-4.244,0.0665,93.013,4,0
2AFC9ad4nGauS1cgm7FCqU,154800,72,0.635,0.141,0.908,0.0,0.112,-5.332,0.0909,74.992,4,0
4YnmQG1fnJR9LnTZtix70T,321741,83,0.733,0.364,0.527,0.0,0.0999,-5.985,0.0486,110.045,4,0
09igpKXUHJFwwJqqTuCvva,154229,69,0.79,0.152,0.75,0.0,0.273,-4.457,0.049,102.979,4,0
5pVJ3IlnpIorU44oXizzG5,240964,84,0.857,0.322,0.705,0.00249,0.197,-4.775,0.183,105.011,4,0
1pymWRCuZfCd0zdiBJo0Hj,145342,92,0.831,0.388,0.643,6.94e-05,0.374,-4.659,0.0568,97.013,4,0
0LZy30mVmxqUpdQmaXKXBd,278644,89,0.786,0.169,0.854,2.39e-05,0.106,-2.4,0.0741,117.994,4,0
0GfWTZZOc7co6oVqyQ556l,162058,76,0.921,0.0425,0.682,0.0,0.175,-4.641,0.199,102.969,4,0
7s4emXHJwAuo5VvGBXmnBL,201935,84,0.794,0.181,0.729,0.0,0.105,-5.424,0.111,92.967,4,0
1CmXpRe5Z7bKhX9N0mzAZM,188304,73,0.678,0.123,0.662,2.17e-05,0.0968,-8.033,0.159,129.762,4,0
1C84d9abZVKWHT2YYpoean,147011,88,0.786,0.445,0.786,2.12e-06,0.0947,-6.372,0.0512,100.123,1,0
22pksIE0wbdDfMXCb65Qt8,209361,76,0.794,0.387,0.799,0.000537,0.164,-3.711,0.0525,93.962,4,0
0rNqDh9zWWJVTLS4VfceHP,180360,84,0.805,0.0704,0.89,0.0,0.121,-1.502,0.0634,93.037,4,0
1eMXh9WqMtnmeyZnig2NUA,286283,76,0.716,0.0537,0.723,0.00769,0.109,-4.202,0.0636,170.031,4,0
0hkoQgoqic1qQtxPOudmrx,202058,81,0.717,0.208,0.502,1.31e-05,0.12,-6.329,0.0479,180.01,4,0
5496lks6V3fh1mZAB6IAap,161655,91,0.741,0.00526,0.754,8.21e-06,0.125,-5.412,0.0327,126.98,4,0
0tXFWZC3ZF44vgi0h2o4iI,167522,74,0.69,0.752,0.393,0.0023,0.109,-10.255,0.0367,95.008,4,0
0SoBfYjQHvL6cuWHtPUYnq,198495,81,0.451,0.24,0.711,0.0,0.154,-4.612,0.0426,176.161,4,0
21hsqOOUfdSjHi3SVz8oyv,164956,81,0.608,0.385,0.514,0.287,0.122,-7.857,0.188,99.698,4,0
16iLGYXMiLUhvqTEIu4pKB,118558,77,0.784,0.401,0.383,1.92e-05,0.0851,-9.166,0.111,110.889,3,0
1XV28AhakcpzWGBmU2j2Ld,200040,74,0.768,0.124,0.825,6.47e-05,0.333,-3.618,0.252,169.996,4,0
5LhI8m7n8xlQmNe3b7Rwis,187087,86,0.732,0.0449,0.873,0.000803,0.347,-5.965,0.0321,128.029,3,0
